USERNAME,MESSAGE,PFP,ISBOT
"@le_spider3668","10:26 ken looking like hes contemplating pulling a shank on me, but instead just wanted to share a fun fact (wholesome )","https://yt3.ggpht.com/F5fVFBTn3ARamYFvqD63Mca6UzbCCtbvG-i6IJF96G0KLs7TGMw1Z30vDvVKdrdyIqUYXjVuKw=s88-c-k-c0x00ffffff-no-rj","false"
"@Groggy_grog_hog","0:00 the berserker’s daddy starts yapping 

10:51 the berserker’s daddy stops yapping","https://yt3.ggpht.com/RO-TsauIkvpJ-ketfie8atl4xem1HLyRpBq3k8mgOEV4ECSS26FKKEGZY5pfDOL3FPeNVl-xIA=s88-c-k-c0x00ffffff-no-rj","false"
"@sleepyguy-1",",,And a goblin curse"" Ken says as he enter a gas chamber","https://yt3.ggpht.com/ytc/AIdro_kiwODstejROaBTysprFJ0KdJ1qpsJK-a1gJTAw_VzNcLE=s88-c-k-c0x00ffffff-no-rj","false"
"@weskos_bananatapioca","Rune giant your voodoo doll is working exceptionally well","https://yt3.ggpht.com/eYtwHjIC5GV2D7Vw0L2ojTPyc_MpcBH3v4LxfKDD-hm-wRjQPwJ9MBdO0y49dxSILLbzYTrp=s88-c-k-c0x00ffffff-no-rj","false"
"@kens_yappuccino","Kenneth strolled down the road in his black hoodie at 2 am, following the berserker...","https://yt3.ggpht.com/thsdXMK_-ZvuDtZQURpu7xw4jYXrSkNEYva55yZLy0eCtdi9eOLO0zqn5bjd2KoFZ0E0l_tb-A=s88-c-k-c0x00ffffff-no-rj","false"
"@MemeVilleZ","“And goblin curse” says Ken as he aggresively farts in a public place","https://yt3.ggpht.com/MmT30GfLDPeNT-xB5tRFdgOvrJ-hX1cvWSMHgPBH6TNdVjY5YmDTsdzkWAh-hBEoLnve70ciaQ=s88-c-k-c0x00ffffff-no-rj","false"
"@ToenailConsumer","6:07 evo spit","https://yt3.ggpht.com/iCxSvrUnOvKQjQCnKMq39aXvaK3GnD8Y78s9_JmtWGIcJp51AWeRV8G-70Lt0RUfGp7Kk6b3kPU=s88-c-k-c0x00ffffff-no-rj","false"
"@japanesaren","6:50 Ken scolds his slave named ""Leg"" who always hold his iPad","https://yt3.ggpht.com/QJ9oMU0sYPYfa_bZehva3cReID42xhN8nzxkxz_5dcVZ_kJi0BLIayiiw2jih5hBrHh8wnRC=s88-c-k-c0x00ffffff-no-rj","false"
"@devxim","""and goblin curse"" ken says as he puts his whatsapp parfume on for his first date with berserker","https://yt3.ggpht.com/ytc/AIdro_kKGuxq0xLmNoPFuKzdCavnOP8et_KoSHHTQDLegY-8eryukYQSqeYbGM7U3tHwzBuIlg=s88-c-k-c0x00ffffff-no-rj","false"
"@Endynn","4:42 kens true intentions","https://yt3.ggpht.com/Ki0AyjyhzqhUVgUSytETOypu_GzdyDlJRLy4KKtqikUSF-VUnQAxJMOhT_ceG3BhfLQjohN7=s88-c-k-c0x00ffffff-no-rj","false"
"@Mberkayyy","5:01  bring back depressed suici","https://yt3.ggpht.com/XRsfq-lVj3uNOZWTKYsHkuBmrYhKohE5G9R-xBg-qNnqoLH5tv1Wb8Mw3EgmjYIR92MCRmJfoA=s88-c-k-c0x00ffffff-no-rj","false"
"@Ankara_Messi_","4:04 Ken turns into Bobby the moment he plays goblin curse","https://yt3.ggpht.com/_zZUrxQ5KRSk5KjO5n-6X1chY4HbyvHv9F3s177_kQqis84ne_BcW1zg5qt1UPiYM4UgTC_Cbw=s88-c-k-c0x00ffffff-no-rj","false"
"@BastardiusJamesIII","""And goblin curse"" Ken says as he farts under the covers","https://yt3.ggpht.com/M7WsIk3reZb0l2X-2R8ntxBipfX4Tljr-Auqf7r-tX-HCFp-kxJ5GcdWHNBKwp68R27iTaIvww=s88-c-k-c0x00ffffff-no-rj","false"
"@Jakub-yw4ci","""Evolved musketeer value!"" Ken shouts as he watches ICE agents shoot a woman in her car.","https://yt3.ggpht.com/nZXYgQ3ge3t5PB_J8b01rOl95U6_rt2lHcdyHzzvxbF5kr8xxbFbRpK1wL8lTviuYYdROaQNDQ=s88-c-k-c0x00ffffff-no-rj","false"
"@FahdElobid","Sheeeeesh, call me the flash","https://yt3.ggpht.com/FD-HlhM8PHuJ5K9Lq9C2DNa57V8jn3_APZpePMc2omfm-JtCZhnC98XIszYkvoEVgV4uJab2Tw=s88-c-k-c0x00ffffff-no-rj","false"
"@BlackLily503","Unabomber type outfit ","https://yt3.ggpht.com/ytc/AIdro_nWyPWxkLouOOka6GuHM8izDlE_yXnC5xTup5HP8T7CMeTZxq27qge_MoyYv6lzf2FRtw=s88-c-k-c0x00ffffff-no-rj","false"
"@Runegiantenthusiast","Ken has seen the infinite potential of rune giant and now he cant unsee it. so many fun synergies for troll decks for ken to try out","","false"
"@pawer-pl","""PREDICTION LOGGG!!!"" Said ""Kenald Kump"" when rizzing up the berserker","https://yt3.ggpht.com/-oM0UyV7ZZCz6uK1ppKfG5Kn5fr9L4-LuQJBJ7QpffvySrIUv6aE1WFK3mmIoJ7GVZcVf6JOWw=s88-c-k-c0x00ffffff-no-rj","false"
"@Juba777-s7p","10:06 This is satisfactory considering how ken acted in his last 2 videos","https://yt3.ggpht.com/f3JUnIpMF8ozrycEi-8RUQ9csI53zqabKmdIab39zekZhCNfhJCb8S5rzxN0_IzcGKMc6HpmJu4=s88-c-k-c0x00ffffff-no-rj","false"
"@Lulzinh","""and goblin curse"" Ken mutters after using his fireball on an orphanage","https://yt3.ggpht.com/3KVnUjqNDRIcoJJBhA6wBBZwR4BB9SHRaRRf83oI8U0bDMK2aGlx79TwUV_zFGG3A7dLj0jKZg=s88-c-k-c0x00ffffff-no-rj","false"
"@Mberkayyy","7:14  if u guys wondering he had his first gay experience and it was the best thing ever happened to him","https://yt3.ggpht.com/XRsfq-lVj3uNOZWTKYsHkuBmrYhKohE5G9R-xBg-qNnqoLH5tv1Wb8Mw3EgmjYIR92MCRmJfoA=s88-c-k-c0x00ffffff-no-rj","false"
"@thewackywardrobe961","""aaaand goblin curse"" Ken said as he drops gas bombs over greenland","https://yt3.ggpht.com/9DpouTWoUehzvh_STeY_uRpEX1gnlloHUmhpUWO853Sdm2jsOYwfA3yVmlXxuSymmkcY45o8=s88-c-k-c0x00ffffff-no-rj","false"
"@br0k3nb0unty9","He’s a ten but he’s an alcoholic with severe mental issues","https://yt3.ggpht.com/OEyBr4YXH7bFWX1d07c9mgbPzs0ekYMfLmTzqiwiI3S--Xx7Jq_u4HHBeT9Fh8tlSF-KJoWEmA=s88-c-k-c0x00ffffff-no-rj","false"
"@IvanReindl","7:48 I'm always watching Ken","https://yt3.ggpht.com/Ba1SdRYb_CNV7WJbk4QnAerwXaBTMgZ8GiLWQJvdaVrWcUg4YXy7IdqaUQbQj7aRaLM5fdF2=s88-c-k-c0x00ffffff-no-rj","false"
"@dazzyone","You can see how much shortbread and heroin Ken has had while in Scotland","https://yt3.ggpht.com/ytc/AIdro_nsmDCcJ19NA_H6R0hqX74M2md0nNmLvbyRygpjRzUDBA=s88-c-k-c0x00ffffff-no-rj","false"
"@Abdullah-mon","1:49 there we go rock crush is finally back in the deck, good boy ","https://yt3.ggpht.com/8pHM2Kww2asU2GeNZU_6BmiPKqDI4bANqpNoYjzJN4QujA2OGHlMAjChk1kQ_9ijTHayIx8t=s88-c-k-c0x00ffffff-no-rj","false"
"@Juba777-s7p","8:58 It's so cute when ken loses a game he was confident he could win","https://yt3.ggpht.com/f3JUnIpMF8ozrycEi-8RUQ9csI53zqabKmdIab39zekZhCNfhJCb8S5rzxN0_IzcGKMc6HpmJu4=s88-c-k-c0x00ffffff-no-rj","false"
"@Victim-xs1kd","Ken is the variety of a man to use cheap damage coz he can't afford expensive","https://yt3.ggpht.com/Lt4bdH8MxTWQW6A0LgDFYuAr3FA___MwCbWXbshyfe7OR-_-V9eHS3XtwOTnFUaJ3oIYon-vTw=s88-c-k-c0x00ffffff-no-rj","false"
"@rmarks8","Im so jelaous of the git that got to see drunk Ken live.","https://yt3.ggpht.com/ytc/AIdro_lF4rl4UygkwcgNOcKI_7phevLJW9iyvk-kK9l6D5EZRrw=s88-c-k-c0x00ffffff-no-rj","false"
"@uhhh99","10:24 that one jamiroquai song","https://yt3.ggpht.com/ytc/AIdro_ntjs5st5bxnSmsyengPddC8fjwM4e0NtTSnagJprj14g=s88-c-k-c0x00ffffff-no-rj","false"
"@denry4665","At this rate Ken and the rune giant are gonna get married.","https://yt3.ggpht.com/ZT-kcGGvAsYSynYkTGwE1vNZT9lLqlH9WHn8vewRThby1ML2IEajMG7et-pTsbOmm_lg6jiAx2I=s88-c-k-c0x00ffffff-no-rj","false"
"@thebigetrain6221","2:45 “Enchanted?” Must’ve had flashbacks to a happier time.","https://yt3.ggpht.com/ytc/AIdro_mEOkQviZfvZFgpiA-QE55Fad7Ubl8kAQmzktthmAA2IA=s88-c-k-c0x00ffffff-no-rj","false"
"@Schmoovin_groovin","I saw a weird guy in a bar the other day, he was in a corner just muttering ""underleveled... how could I have known..."" and drinking heavily","https://yt3.ggpht.com/ytc/AIdro_lrHWTbFqZoDU9M3ff8W1iLLWIXHPXeSom1GjKU4xvUrnPxLAvT-ZnE0hGd6wW5uxS3EA=s88-c-k-c0x00ffffff-no-rj","false"
"@ex44-o1i","6:49 I feel your pain kenny. The same thing happens to my third leg when I watch your videos.","https://yt3.ggpht.com/ytc/AIdro_lnV-czC1AqJvagKGkT3hRp7DmCgkpIbPxOSMULdHg69S_KTjgFAK6HX494fSLVss1DtQ=s88-c-k-c0x00ffffff-no-rj","false"
"@alikara6441","Ken do you know anything about your fame in Turkey?","https://yt3.ggpht.com/ytc/AIdro_mdOTqQ_fFnLMzSopCDZOSj18VcQctMZHPjfnd8Pw4=s88-c-k-c0x00ffffff-no-rj","false"
"@Kameleeon0728","Ken is type of guy to impregnate Rune giant with triplets","https://yt3.ggpht.com/wcvZ0INGlL5GQuiWy3fVygvwTF6-miFRsTOGbWL7ZcyMLrv6WKuySntZ_YLb6R0kZHn4AULI8g=s88-c-k-c0x00ffffff-no-rj","false"
"@oui2814","4:08 we all know your enjoying yourself don’t worry ken","","false"
"@Moon_Solutionz","WENT TO JAIL FOR A KENT OVERDOSE","","false"
"@marekdubsky2320","10:16  the flashbacks from last night kicked in","","false"
"@Hassleware","He loves britain","https://yt3.ggpht.com/ZrZYU-cHfZG1YU3hhPXFR07B98WSiAAx2E6WFH9FrOu9BfX5nqD6GS8R7ELn0RNvCHjo7Vxc=s88-c-k-c0x00ffffff-no-rj","false"
"@-Tidgy","Ken the typa guy to say 'ruin giant' instead of Rune Giant","https://yt3.ggpht.com/ytc/AIdro_lod2OCd4ewXZ1LvBkg7HoDuh3yLm6BKemYr3lomqJBslk=s88-c-k-c0x00ffffff-no-rj","false"
"@mihalygezakiralyhegyi5356","10:25 ken gets in touch with his inner sith lord trying to choke us","https://yt3.ggpht.com/ytc/AIdro_lcWQfH1UBNZYKgXJufgSgN7ClTH1HfhPT33SceOOesWgs=s88-c-k-c0x00ffffff-no-rj","false"
"@brendansaaiman4980","10:25 when post nut clarity hits","https://yt3.ggpht.com/ytc/AIdro_n6r9tfHWEcPXptbiXXTM0ZX3nduTE1HkkDeniaB3gpkBk=s88-c-k-c0x00ffffff-no-rj","false"
"@JohnnyOption","And goblin curse is what I say when I react to ICE agents going to Minnesota.","https://yt3.ggpht.com/ytc/AIdro_nkHMdD8-iph0EM_9XXOHFTX5yr1_08Pyl5RsRmTC8NcKJnWauEhfigEgk72JRwumN-OA=s88-c-k-c0x00ffffff-no-rj","false"
"@IvanReindl","10:39 BLESS YOU","https://yt3.ggpht.com/Ba1SdRYb_CNV7WJbk4QnAerwXaBTMgZ8GiLWQJvdaVrWcUg4YXy7IdqaUQbQj7aRaLM5fdF2=s88-c-k-c0x00ffffff-no-rj","false"
"@arvind1476","""and goblin curse"" ken days as berserker runs away","https://yt3.ggpht.com/ytc/AIdro_knh0b7CWr6ZnF0FAcrwwj_b5xX1ojXHfCX3fXbw3yBJ1Q=s88-c-k-c0x00ffffff-no-rj","false"
"@Panzer_35T","""Its so close"" ken says as the plane approaches the tower","https://yt3.ggpht.com/Q-I339RAffQl8HmRsCcy_DcQ_7PUk_VzWWDz9YlKpZ2BD5UEsGlMxdR6GkFlYAuJnr1mBiYeWg=s88-c-k-c0x00ffffff-no-rj","false"
"@yamensaado7183","00:01 Electro Wizard starts talking","https://yt3.ggpht.com/ytc/AIdro_nGcme0aUep4oXTMEZ96rOe2QLR4MfLi_qc3FWKofrzZxyQTLkT6aO53ObuurhWH70Sgg=s88-c-k-c0x00ffffff-no-rj","false"
"@bryceferguson1265","""goblin curse!"" kenezuela says after showing his rune giant to a miner","https://yt3.ggpht.com/ytc/AIdro_lEGZYmg4edaXVkNEILXppGZd7lXWw9IsnuiikbOXe0DA=s88-c-k-c0x00ffffff-no-rj","false"
"@ShadowFrosty101","Kenny poo got a little to excited over beserker in this video","","false"
"@ZionDuh-_-","Ken looks like he's been influenced by his england trip","https://yt3.ggpht.com/JddKRsZj7TZsqpPjecoZysh7fdkOtxOXA2Re0bhWIZEhMKCxLRmVmhNIPiZCLUIQAMzhatE_vA=s88-c-k-c0x00ffffff-no-rj","false"
"@harroldbogharry9867","Ken looking like emperor palpatine after one Scottish holiday","https://yt3.ggpht.com/ytc/AIdro_lP2VP-4BzUmOSe5VHVQpTAm1g860lassIPyWTzVkM=s88-c-k-c0x00ffffff-no-rj","false"
"@dalemassing6819","Ken explores a Ruin Giant Miner deck, focusing on chip damage and Goblin Curse synergy. The gameplay features intense back-and-forth battles and strategic emote usage. Expect unexpected card interactions and some surprising deck tech.","https://yt3.ggpht.com/5w4a2tPPpGYdGorSW_MOYfOv47987RqulP8HgTBPxKnNKjDs7lG231iDBnV7NRCR1RjbI0pKtA=s88-c-k-c0x00ffffff-no-rj","false"
"@Moni_Meckala","I love it when ken enchants my evo log during while i am tied up with a mouth gag in Kennie's basement","https://yt3.ggpht.com/s7oYnEq0eDuUwOdLokuK6_zDPB6z6A9OstMjAJIS_HXH7yJ4W_zRxHP1Uq-BHUNPsx0YyOCteA=s88-c-k-c0x00ffffff-no-rj","false"
"@Maxblueninja1","Ken why do you have your drug dealer outfit","https://yt3.ggpht.com/PpMhJMwZlV4vFi7nWQlpULAKT1JX1lHdYjy1FD8ig_UZtoKTET3Kmm-69NA4rYFUyRlirOuQ3g=s88-c-k-c0x00ffffff-no-rj","false"
"@shreyanparanjape2751","""and goblin curse"" ken says when he gets a dutch oven","https://yt3.ggpht.com/ytc/AIdro_lNHffuJx0cghhOYcruZ2113q5m-fZ7IBosDin4vuEbzKGk=s88-c-k-c0x00ffffff-no-rj","false"
"@corgiliver","3:49 ken when talking to the doctor about how he hurt his log","","false"
"@h.huseyinergun7520","""and goblin curse"" reads ken on the shopping list.","","false"
"@he-xq4nb","3:40 ""Theres no way"" Ken says as Berserker escabes his basement","","false"
"@deividmatoss","Ken and Supercell are like Louis and Harvey","","false"
"@VivaBenKing","My morning routine revolves around Ken.","","false"
"@gabrock2007","Ken coming back from a bank robbery with his hoodie on and goblin stance","https://yt3.ggpht.com/ytc/AIdro_mJUxkkmi665AmRCz4ilJfPTAan1TU452g2UM5ek9PklkcAAb7dnzzInZhXZe_Ftp4s2g=s88-c-k-c0x00ffffff-no-rj","false"
"@maus1212","ken shows his evo log and suspicious bush to the underleveled bezerky werky","https://yt3.ggpht.com/ytc/AIdro_mc4Y9gQCEiemTFxftMBzkVs4f2dFVKIi2EzfEXVVougJ-byH1unVlcX4jadECPvzh2lg=s88-c-k-c0x00ffffff-no-rj","false"
"@_ArseneR","0:59 Ken was a little bit too happy about the Berserker being 16","https://yt3.ggpht.com/vWqqDxsheSYRhKGbyd3lfsBdpcLcs-9Xw6GevINhiGTPROFlm7TairKxxRyYia9oYKFPtdb6=s88-c-k-c0x00ffffff-no-rj","false"
"@jjheyhey-z3j","""Kenduro"" has to stay quiet so the feds don't find him and extract him to Australia to face criminal charges.","https://yt3.ggpht.com/7qgI7_ee4xv1nvCQ24RRSDJ7qKU4nWHx4PpXC2YrPwXvUjzK7r_7H2YVUBy9kHymGBAlkgfaww=s88-c-k-c0x00ffffff-no-rj","false"
"@mihi6712","10:38 i see berserker under the table did her job well","https://yt3.ggpht.com/ytc/AIdro_lDA1bC9_y0a6rCAcQ9td-L4w50gqqwFnNtk4VEjVTryLk=s88-c-k-c0x00ffffff-no-rj","false"
"@ThulaibRahman-m4y","9:32   but she said she means it","https://yt3.ggpht.com/PDjeJ8jr3vnvnyt00sLx1WrHZnPNbEzRI6GMNNDzphUDPFfmMTbUdfeXmuSfkGyu5SxBQ9FlNw=s88-c-k-c0x00ffffff-no-rj","false"
"@Growagarden-w7m","""and goblin curse"" says akolf kinler as they ask him what negative effects the goblins caused","https://yt3.ggpht.com/d2BfBKiX7t-sGceCewlBCIVLcyciTTTRbIWQTAv2COExbijnYDItUHw_6teV5jBBbppJSn0Z=s88-c-k-c0x00ffffff-no-rj","false"
"@shauryasingh8136","this video is the kenlin curse","https://yt3.ggpht.com/ytc/AIdro_nwdzoWa2pjJJHa1zlEghZstewKFcis66DzVr1uCu3KQCo=s88-c-k-c0x00ffffff-no-rj","false"
"@EFK427","Ken is the type of guy who would play evo battle ram hero knight in his next video","https://yt3.ggpht.com/YobuhPKYksq3cWWRtw55BHy4OwrnuGt4qaAen8qNLbXNPPQ1cJALGD-KQ8PDMvXPwIGq8sxYCaA=s88-c-k-c0x00ffffff-no-rj","false"
"@mohammedalmaliky7307","""Goblin curse value"" as ken rip a big fart in a crowded bus.","https://yt3.ggpht.com/ytc/AIdro_lSjplWnmsdMrLK5ncbD84QWkc6RgPTfaiJ0PZGPcQ=s88-c-k-c0x00ffffff-no-rj","false"
"@ProKratos","10:35 hardest quote of 2026","https://yt3.ggpht.com/ZCvykDAM8hdg8PiFhmbx0U5sc4kPzdhzvPt-nqMxL8wHyPZIp1B__i7Lg77_sDVSv-ClNpRQoQ=s88-c-k-c0x00ffffff-no-rj","false"
"@wetroc","300 years Ken, your past will catch up to you, 300 plus years...","https://yt3.ggpht.com/BNEMhDbLuj_IaCwgp8Jy5UySQyqcfFOFxGESA516YzZ43gLR2ttWIhOYYna14N2Y2R4cZTET6A=s88-c-k-c0x00ffffff-no-rj","false"
"@1n33dhead","only real kenners miss the green screen of death","https://yt3.ggpht.com/BkN2DFj3iYqNxXqVlIW4NC859C4zvLfFQEjdATS1EFlQAzyBKtnL5c7aW_3cVKlOeY-g3U0ttQ=s88-c-k-c0x00ffffff-no-rj","false"
"@Schmoovin_groovin","On time today, good boy","https://yt3.ggpht.com/ytc/AIdro_lrHWTbFqZoDU9M3ff8W1iLLWIXHPXeSom1GjKU4xvUrnPxLAvT-ZnE0hGd6wW5uxS3EA=s88-c-k-c0x00ffffff-no-rj","false"
"@Keegsie","didnt take long for Ken to join the mandem","https://yt3.ggpht.com/LgEJ6Xr_6sI7y1PD28HbWpoyBw5urjOupr6Pw162IZSp_qim34jWAAA0IFzyXsgZvwHNbl9_=s88-c-k-c0x00ffffff-no-rj","false"
"@Abobus104","No way! It's the epic schoolsh00ter Ken skin!","","false"
"@Mininotbere","In the olden days Goblin Curse used to have damage amplification.","https://yt3.ggpht.com/aKHXUr8zTvqpPZksXWDvUEkqg3IphL1iKzy-aO-YmbT0OtIvmYEHAf3MGlANyDdU-0a2nUMq5A=s88-c-k-c0x00ffffff-no-rj","false"
"@agent.k1254","Just realized Kens ancestors were probably sent to a penal colony","","false"
"@Gaillard66.6","add the ""RAUGHRAUGHRAUGHRAUGH"" emote to the emote deck (the screaming red king,just like in the good old days)","","false"
"@gokusamaindia","You are the one who brought back Goblin Curse, now you are the one who has brought back the supposedly worst card in the game, Rune Giant! You are a saviour, Ken! The Voice of the voiceless!","","false"
"@kadencrow7200","Holy refresh","https://yt3.ggpht.com/ytc/AIdro_mOA4OjuWS617l4wHZkMGR0Cod_0-jlh2e0JJ9R6cc=s88-c-k-c0x00ffffff-no-rj","false"
"@Paul-kg1tv","""and goblin curse"" ken stuttert when he was aked what he found in greenland","https://yt3.ggpht.com/ytc/AIdro_nUx6NXeqgaSjbck_L2gp8ftxObUPjsuDQzxLB_lTKlfXY=s88-c-k-c0x00ffffff-no-rj","false"
"@chillmatter","Ken is the type of guy to announce he's gonna tell you a secret then proceeds not to tell. Just tell us the story noob.","https://yt3.ggpht.com/P2T068i5h2URRRtRyK93tSxyb4NJeNTSUHet4_RoEradh67WEk2OCbZ38qSG3ds4x0RBFiKw=s88-c-k-c0x00ffffff-no-rj","false"
"@visio_was_taken7886","I love her, Mom : Berserker
I love her mom : Rune Giant","https://yt3.ggpht.com/YtMaHxrKYJVLUSW2se0IXICA9KR2diSLlrt8Z0XyEmA6snnKXT1f0JMG5fPTG8rPG6bRH4Lc4A=s88-c-k-c0x00ffffff-no-rj","false"
